B1,BooleanSchema,X-Axis end limit Status,"Indicates the status of the Cartesian robot X axis at the end limit point on VL10 machine of the IT'm factory. Normally the switch is in close and the status is true, if the Cartesian robot belt reaches to end point then the switch is opened and the status is false.",TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.AxeX_Fdc_Arriere_B1,FALSE,I0.1,readProperty,,
B2,BooleanSchema,X-Axis front limit Status,"Indicates the status of the Cartesian robot X axis at the front limit point on VL10 machine of the IT'm factory. Normally the switch is in close and the status is true, if the Cartesian robot belt reaches to front limit point then the switch is opened and the status is false.",TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.AxeX_Fdc_Avant_B2,FALSE,I0.2,readProperty,,
B3,BooleanSchema,X-Axis reference Status,"Indicates the status of the Cartesian robot X axis reference on VL10 machine of the IT'm factory. Normally the switch is in open and the status is false, if belt reaches to intial/ideal position on the X-Axis then the switch is closed and the status is true.",TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.AxeX_Ref_B3,FALSE,I0.3,readProperty,,
B4,BooleanSchema,Z-Axis bottom limit Status,"Indicates the status of the Cartesian robot Z axis at the bottom limit point on VL10 machine of the IT'm factory. Normally the switch is in close and the status is true, if belt reaches to bottom limit point then the switch is opened and the status is false.",TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.AxeZ_Fdc_Bas_B4,FALSE,I0.4,readProperty,,
B5,BooleanSchema,Z-Axis top limit Status,"Indicates the status of the Cartesian robot Z axis at the top limit point on VL10 machine of the IT'm factory. Normally the switch is in close and the status is true, if belt reaches to top limit point then the switch is opened and the status is false.",TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.AxeZ_Fdc_Haut_B5,FALSE,I0.5,readProperty,,
B6,BooleanSchema,Z-Axis reference Status,"Indicates the status of the Cartesian robot Z axis reference on VL10 machine of the IT'm factory. Normally the switch is in open and the status is false, if belt reaches to intial/ideal position on the Z-Axis then the switch is closed and the status is true.",TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.AxeZ_Ref,FALSE,I0.6,readProperty,,
B7,BooleanSchema,Air lock cylinder status,"Indicates the clamp status of the airlock cylinder on the conveyor belt on VL10 machine of the IT'm factory. Normally the airlock is in off and the clamp status is true, if the bottle reaches to airlock place and at that time one more bottle is present at the downstream of the conveyor then air lock is on and the clamp status is false.",TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.Verin_Sas_Rentree,FALSE,I1.2,readProperty,,
B8,BooleanSchema,conveyor headstream accumulation status,Indicates the bottle is present at the starting position of the conveyor belt on the VL10 Machine of the IT'm factory.(upstream accumulation).,TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.Pots_Sas_Sortie,FALSE,I1.4,readProperty,,
B9,BooleanSchema,Airlock outlet pots,Indicates the bottle is exits/passes from the airlock position of the conveyor belt on the VL10 Machine of the IT'm factory.,TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.pots_at_airlock,FALSE,I1.5,readProperty,,
B10,BooleanSchema,Conveyor drive status,Indicates the status/condiation/position of the conveyor belt drive on the VL10 Machine of the IT'm factory.,TRUE,FALSE,http://localhost:3001/ns=2;s=ITm%20Factory.VL10.defaut_var_convoyeur,FALSE,I1.3,readProperty,,
